17:03:46 | DEBUG | __init__: 623 | Using proactor: IocpProactor
17:03:46 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
17:03:46 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5555683553,"is_bot":true,"first_name":"test","username":"test_303030_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
17:03:46 | INFO | _welcome: 362 | Bot: test [@test_303030_bot]
17:03:46 | INFO | start_polling: 358 | Start polling.
17:03:46 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
17:03:46 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
17:03:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
17:03:58 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":39742661,\n"message":{"message_id":30,"from":{"id":5424187874,"is_bot":false,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","language_code":"ru"},"chat":{"id":5424187874,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","type":"private"},"date":1657634638,"text":"ghbdtn"}}]}'"
17:03:58 | DEBUG | start_polling: 395 | Received 1 updates.
17:03:58 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 5424187874, 'text': 'ghbdtn'}" and files "None"
17:03:58 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742662, 'timeout': 20}" and files "None"
17:03:58 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":31,"from":{"id":5555683553,"is_bot":true,"first_name":"test","username":"test_303030_bot"},"chat":{"id":5424187874,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","type":"private"},"date":1657634638,"text":"ghbdtn"}}'"
17:04:19 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:19 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742662, 'timeout': 20}" and files "None"
17:04:39 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:39 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742662, 'timeout': 20}" and files "None"
17:04:56 | INFO | stop_polling: 433 | Stop polling...
17:04:56 | WARNING | start_polling: 329 | Goodbye!
15:04:00 | DEBUG | __init__: 623 | Using proactor: IocpProactor
15:04:00 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
15:04:00 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5555683553,"is_bot":true,"first_name":"test","username":"test_303030_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
15:04:00 | INFO | _welcome: 362 | Bot: test [@test_303030_bot]
15:04:00 | INFO | start_polling: 358 | Start polling.
15:04:00 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
15:04:00 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":1}}'"
15:04:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
15:04:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":39742662,\n"message":{"message_id":32,"from":{"id":5424187874,"is_bot":false,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","language_code":"ru"},"chat":{"id":5424187874,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","type":"private"},"date":1657636173,"text":"\\u043f\\u0440\\u0438\\u0432\\u0435\\u0442"}}]}'"
15:04:00 | DEBUG | start_polling: 395 | Received 1 updates.
15:04:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 5424187874, 'text': 'привет'}" and files "None"
15:04:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:04:00 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":33,"from":{"id":5555683553,"is_bot":true,"first_name":"test","username":"test_303030_bot"},"chat":{"id":5424187874,"first_name":"\\u041c\\u0430\\u0440\\u0438\\u044f","type":"private"},"date":1657713841,"text":"\\u043f\\u0440\\u0438\\u0432\\u0435\\u0442"}}'"
15:04:21 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:04:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:04:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:04:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:05:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:05:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:05:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:05:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:05:42 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:05:42 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:06:02 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:06:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:06:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:06:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:06:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:06:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:07:03 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:03 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:07:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:07:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:04 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:04 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:24 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:24 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:45 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:14:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:14:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:14:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:14:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
